Station,Season,Layer,Ensemble Mean,CFSR,ERA-Interim,ERA5,ERA5-Land,JRA55,MERRA2,GLDAS-Noah,GLDAS-CLSM
-1.6704408602150538,Cold_Top,0cm - 30cm,-7.004150390625,-5.140777587890625,-8.655487060546875,-6.67962646484375,-2.342681884765625,-13.50384521484375,-3.3631591796875,-8.62347412109375,-7.72418212890625
-3.528411111111112,Cold_Top,0cm - 30cm,-10.314178466796877,-6.303131103515625,-16.605865478515625,-9.155426025390623,-3.48614501953125,-20.56636047363281,-5.366058349609375,-10.79620361328125,-10.234222412109377
-4.247709677419355,Cold_Top,0cm - 30cm,-11.651885986328125,-6.836212158203125,-19.981735229492188,-9.4888916015625,-4.533721923828125,-19.73204040527344,-8.41448974609375,-11.098602294921877,-13.129486083984375
-7.637365591397848,Cold_Top,0cm - 30cm,-16.2421875,-15.671875,-27.83293151855469,-12.8592529296875,-5.737640380859375,-24.74601745605469,-12.891143798828125,-13.92401123046875,-16.274658203125
-10.66753879310345,Cold_Top,0cm - 30cm,-17.296096801757812,-19.44970703125,-28.71600341796875,-13.822784423828125,-6.3746337890625,-21.958038330078125,-15.280426025390625,-15.222412109375,-17.544723510742188
-13.330282258064516,Cold_Top,0cm - 30cm,-17.4942626953125,-19.55233764648437,-28.4581298828125,-15.049713134765625,-6.519561767578125,-23.8223876953125,-14.98565673828125,-14.97906494140625,-16.587188720703125
-9.4162,Cold_Top,0cm - 30cm,-14.873046875,-15.013153076171875,-25.819808959960934,-16.68115234375,-6.242401123046875,-11.866729736328125,-14.021942138671875,-14.4354248046875,-14.903656005859375
-2.025157258064516,Cold_Top,0cm - 30cm,-4.764984130859375,-4.045562744140625,-5.832122802734375,-3.955078125,-1.84124755859375,-7.480255126953125,-2.380462646484375,-6.99627685546875,-5.588958740234375
-4.623,Cold_Top,0cm - 30cm,-15.97247314453125,-15.803497314453125,-21.38960266113281,-12.40020751953125,-4.58984375,-22.36439514160156,-7.6363525390625,-21.9713134765625,-21.62446594238281
-3.359233870967741,Cold_Top,0cm - 30cm,-13.7293701171875,-14.995697021484375,-19.004318237304688,-10.019256591796877,-4.4229736328125,-17.269195556640625,-8.351898193359375,-17.772811889648438,-17.998779296875
